Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 1 | Risk: 98
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 2 | Risk: 96
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 3 | Risk: 94
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 4 | Risk: 92
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 5 | Risk: 90
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 6 | Risk: 88
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 7 | Risk: 86
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 8 | Risk: 84
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 9 | Risk: 82
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 10 | Risk: 80
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 11 | Risk: 78
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 12 | Risk: 76
Mon Jan 19 15:30:42 2026 | LOOK LEFT | Violations: 13 | Risk: 74
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 14 | Risk: 72
Mon Jan 19 15:30:42 2026 | LOOK LEFT | Violations: 15 | Risk: 70
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 16 | Risk: 68
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 17 | Risk: 66
Mon Jan 19 15:30:42 2026 | LOOK LEFT | Violations: 18 | Risk: 64
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 19 | Risk: 62
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 20 | Risk: 60
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 21 | Risk: 58
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 22 | Risk: 56
Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 23 | Risk: 54
Mon Jan 19 15:30:43 2026 | LOOK UP | Violations: 24 | Risk: 52
Mon Jan 19 15:30:43 2026 | LOOK UP | Violations: 25 | Risk: 50
Mon Jan 19 15:30:43 2026 | LOOK LEFT | Violations: 26 | Risk: 48
Mon Jan 19 15:30:43 2026 | LOOK UP | Violations: 27 | Risk: 46
Mon Jan 19 15:30:43 2026 | LOOK UP | Violations: 28 | Risk: 44
Mon Jan 19 15:30:43 2026 | LOOK LEFT | Violations: 29 | Risk: 42
Mon Jan 19 15:30:43 2026 | LOOK UP | Violations: 30 | Risk: 40
Mon Jan 19 15:30:43 2026 | LOOK UP | Violations: 31 | Risk: 38
Mon Jan 19 15:30:43 2026 | LOOK UP | Violations: 32 | Risk: 36
Mon Jan 19 15:30:43 2026 | LOOK UP | Violations: 33 | Risk: 34
Mon Jan 19 15:30:43 2026 | LOOK UP | Violations: 34 | Risk: 32
